Local time,Open,High,Low,Close,Volume
03.09.2020 05:00:00.000 GMT+0800,1.18506,1.18646,1.17889,1.18512,888288.6439
04.09.2020 05:00:00.000 GMT+0800,1.18513,1.18654,1.17809,1.18371,975069.8785999998
07.09.2020 05:00:00.000 GMT+0800,1.18432,1.18486,1.18117,1.18133,473109.8130000001
08.09.2020 05:00:00.000 GMT+0800,1.18133,1.18273,1.17654,1.17737,904698.4055
09.09.2020 05:00:00.000 GMT+0800,1.17749,1.18339,1.17527,1.18025,847151.7323999999
10.09.2020 05:00:00.000 GMT+0800,1.18026,1.19175,1.18004,1.18146,1079876.5923
11.09.2020 05:00:00.000 GMT+0800,1.18145,1.18741,1.18130,1.18453,921866.9279
14.09.2020 05:00:00.000 GMT+0800,1.18348,1.18880,1.18319,1.18643,908617.9663
15.09.2020 05:00:00.000 GMT+0800,1.18648,1.19005,1.18395,1.18462,889556.0084
16.09.2020 05:00:00.000 GMT+0800,1.18465,1.18825,1.17876,1.18155,999318.6814
17.09.2020 05:00:00.000 GMT+0800,1.18156,1.18524,1.17373,1.18477,1396941.4092999997
18.09.2020 05:00:00.000 GMT+0800,1.18476,1.18705,1.18260,1.18385,1098599.2318
21.09.2020 05:00:00.000 GMT+0800,1.18369,1.18717,1.17317,1.17707,1326884.4434999998
22.09.2020 05:00:00.000 GMT+0800,1.17707,1.17735,1.16916,1.17077,1025213.6455999999
23.09.2020 05:00:00.000 GMT+0800,1.17074,1.17188,1.16513,1.16595,1081733.5506999998
24.09.2020 05:00:00.000 GMT+0800,1.16590,1.16869,1.16265,1.16708,1085492.7477999998
25.09.2020 05:00:00.000 GMT+0800,1.16706,1.16850,1.16121,1.16277,993353.679
28.09.2020 05:00:00.000 GMT+0800,1.16271,1.16799,1.16150,1.16650,1022732.4422999999
29.09.2020 05:00:00.000 GMT+0800,1.16650,1.17455,1.16614,1.17426,980638.7148999999
30.09.2020 05:00:00.000 GMT+0800,1.17430,1.17548,1.16847,1.17210,1341208.0746
01.10.2020 05:00:00.000 GMT+0800,1.17210,1.17696,1.17171,1.17460,1321574.3768
02.10.2020 05:00:00.000 GMT+0800,1.17489,1.17489,1.16956,1.17157,1400393.5694000002
05.10.2020 05:00:00.000 GMT+0800,1.17110,1.17975,1.17053,1.17825,1043070.4095
06.10.2020 05:00:00.000 GMT+0800,1.17825,1.18077,1.17317,1.17334,1202139.6668
07.10.2020 05:00:00.000 GMT+0800,1.17335,1.17818,1.17249,1.17604,1195938.1212
08.10.2020 05:00:00.000 GMT+0800,1.17600,1.17816,1.17326,1.17582,1112217.6882
09.10.2020 05:00:00.000 GMT+0800,1.17587,1.18310,1.17568,1.18248,1054360.1831999999
12.10.2020 05:00:00.000 GMT+0800,1.18103,1.18266,1.17867,1.18120,959558.4678
13.10.2020 05:00:00.000 GMT+0800,1.18120,1.18155,1.17304,1.17440,1191270.3110999998
14.10.2020 05:00:00.000 GMT+0800,1.17452,1.17710,1.17199,1.17452,1146763.6835
15.10.2020 05:00:00.000 GMT+0800,1.17452,1.17578,1.16884,1.17073,1052065.2001
16.10.2020 05:00:00.000 GMT+0800,1.17073,1.17462,1.16939,1.17132,952925.3259
19.10.2020 05:00:00.000 GMT+0800,1.17181,1.17936,1.17031,1.17695,682296.6846
20.10.2020 05:00:00.000 GMT+0800,1.17695,1.18407,1.17598,1.18211,799622.3074999999
21.10.2020 05:00:00.000 GMT+0800,1.18214,1.18807,1.18209,1.18598,949038.4269999998
22.10.2020 05:00:00.000 GMT+0800,1.18569,1.18668,1.18114,1.18177,932813.0827999999
23.10.2020 05:00:00.000 GMT+0800,1.18177,1.18648,1.17866,1.18572,904441.4873000002
26.10.2020 05:00:00.000 GMT+0800,1.18546,1.18605,1.18032,1.18086,839654.8307
27.10.2020 05:00:00.000 GMT+0800,1.18090,1.18387,1.17927,1.17950,787344.9201000001
28.10.2020 05:00:00.000 GMT+0800,1.17949,1.17978,1.17178,1.17457,1065411.0096
29.10.2020 05:00:00.000 GMT+0800,1.17457,1.17587,1.16501,1.16731,780361.9985000001
30.10.2020 05:00:00.000 GMT+0800,1.16743,1.17042,1.16400,1.16431,917926.6913999999
02.11.2020 06:00:00.000 GMT+0800,1.16498,1.16557,1.16221,1.16404,825009.7200000001
03.11.2020 06:00:00.000 GMT+0800,1.16404,1.17397,1.16318,1.17150,652729.0692
04.11.2020 06:00:00.000 GMT+0800,1.17150,1.17704,1.16026,1.17244,1304116.2713
05.11.2020 06:00:00.000 GMT+0800,1.17251,1.18596,1.17107,1.18268,953757.4940000003
06.11.2020 06:00:00.000 GMT+0800,1.18268,1.18908,1.17952,1.18700,512782.1572000001
09.11.2020 06:00:00.000 GMT+0800,1.18898,1.19199,1.17952,1.18127,698296.3085000002
10.11.2020 06:00:00.000 GMT+0800,1.18124,1.18432,1.17799,1.18127,628651.9735000001
11.11.2020 06:00:00.000 GMT+0800,1.18127,1.18327,1.17454,1.17771,427459.8659
12.11.2020 06:00:00.000 GMT+0800,1.17771,1.18231,1.17585,1.18041,452031.20850000007
13.11.2020 06:00:00.000 GMT+0800,1.18039,1.18374,1.17989,1.18310,383459.323
16.11.2020 06:00:00.000 GMT+0800,1.18411,1.18689,1.18141,1.18516,391986.72000000003
17.11.2020 06:00:00.000 GMT+0800,1.18509,1.18937,1.18425,1.18612,337998.86730000004
18.11.2020 06:00:00.000 GMT+0800,1.18607,1.18908,1.18491,1.18526,358563.176
19.11.2020 06:00:00.000 GMT+0800,1.18526,1.18825,1.18161,1.18745,412653.6540000001
20.11.2020 06:00:00.000 GMT+0800,1.18745,1.18908,1.18498,1.18544,393869.04880000005
23.11.2020 06:00:00.000 GMT+0800,1.18538,1.19060,1.17997,1.18399,373709.31980000006
24.11.2020 06:00:00.000 GMT+0800,1.18399,1.18961,1.18361,1.18905,453267.3336
25.11.2020 06:00:00.000 GMT+0800,1.18922,1.19297,1.18818,1.19157,438592.50399999996
26.11.2020 06:00:00.000 GMT+0800,1.19157,1.19409,1.18852,1.19127,309694.906
27.11.2020 06:00:00.000 GMT+0800,1.19125,1.19641,1.19068,1.19620,297590.7008
30.11.2020 06:00:00.000 GMT+0800,1.19614,1.20032,1.19236,1.19256,425824.10430000006
01.12.2020 06:00:00.000 GMT+0800,1.19260,1.20765,1.19249,1.20692,332544.31549999997
02.12.2020 06:00:00.000 GMT+0800,1.20691,1.21183,1.20399,1.21132,355342.27210000006
