Local time,Open,High,Low,Close,Volume
24.08.2020 05:00:00.000 GMT+0800,1.17992,1.18498,1.17845,1.17884,320360.60150000005
25.08.2020 05:00:00.000 GMT+0800,1.17884,1.18439,1.17845,1.18349,296354.7849
26.08.2020 05:00:00.000 GMT+0800,1.18351,1.18395,1.17726,1.18308,255541.20090000003
27.08.2020 05:00:00.000 GMT+0800,1.18308,1.19022,1.17627,1.18228,415618.4149000001
28.08.2020 05:00:00.000 GMT+0800,1.18229,1.19200,1.18112,1.19065,415520.5629
31.08.2020 05:00:00.000 GMT+0800,1.19065,1.19663,1.18842,1.19375,821667.4251999999
01.09.2020 05:00:00.000 GMT+0800,1.19375,1.20116,1.19016,1.19125,415725.01000000007
02.09.2020 05:00:00.000 GMT+0800,1.19125,1.19290,1.18222,1.18555,793581.9831000001
03.09.2020 05:00:00.000 GMT+0800,1.18562,1.18649,1.17892,1.18520,1148434.4516999999
04.09.2020 05:00:00.000 GMT+0800,1.18516,1.18657,1.17811,1.18393,1264146.101
07.09.2020 05:00:00.000 GMT+0800,1.18480,1.18490,1.18123,1.18166,587514.1933
08.09.2020 05:00:00.000 GMT+0800,1.18165,1.18277,1.17657,1.17759,1307571.6671000002
09.09.2020 05:00:00.000 GMT+0800,1.17758,1.18341,1.17530,1.18036,1047368.0183
10.09.2020 05:00:00.000 GMT+0800,1.18036,1.19176,1.18009,1.18154,983067.1247
11.09.2020 05:00:00.000 GMT+0800,1.18147,1.18742,1.18139,1.18476,625100.6627
14.09.2020 05:00:00.000 GMT+0800,1.18409,1.18882,1.18321,1.18658,446866.4351
15.09.2020 05:00:00.000 GMT+0800,1.18658,1.19007,1.18397,1.18469,583872.4308
16.09.2020 05:00:00.000 GMT+0800,1.18468,1.18827,1.17878,1.18166,644452.5073000002
17.09.2020 05:00:00.000 GMT+0800,1.18166,1.18527,1.17379,1.18485,556929.7391
18.09.2020 05:00:00.000 GMT+0800,1.18489,1.18706,1.18264,1.18410,500816.28210000007
21.09.2020 05:00:00.000 GMT+0800,1.18428,1.18719,1.17318,1.17715,579922.2000000001
22.09.2020 05:00:00.000 GMT+0800,1.17715,1.17745,1.16920,1.17085,645437.8405
23.09.2020 05:00:00.000 GMT+0800,1.17081,1.17192,1.16515,1.16607,729091.1672
24.09.2020 05:00:00.000 GMT+0800,1.16614,1.16871,1.16267,1.16731,727297.1975000001
25.09.2020 05:00:00.000 GMT+0800,1.16731,1.16853,1.16124,1.16351,599867.2894000001
28.09.2020 05:00:00.000 GMT+0800,1.16286,1.16802,1.16153,1.16664,424523.36579999997
29.09.2020 05:00:00.000 GMT+0800,1.16661,1.17457,1.16620,1.17439,400213.7074999999
30.09.2020 05:00:00.000 GMT+0800,1.17438,1.17552,1.16849,1.17215,596887.3943
01.10.2020 05:00:00.000 GMT+0800,1.17215,1.17699,1.17175,1.17498,594161.0125
02.10.2020 05:00:00.000 GMT+0800,1.17509,1.17509,1.16960,1.17173,746977.0795999999
05.10.2020 05:00:00.000 GMT+0800,1.17153,1.17978,1.17064,1.17852,581620.5586999999
06.10.2020 05:00:00.000 GMT+0800,1.17854,1.18080,1.17322,1.17348,719381.8189000001
07.10.2020 05:00:00.000 GMT+0800,1.17344,1.17821,1.17252,1.17636,515506.1646999999
08.10.2020 05:00:00.000 GMT+0800,1.17637,1.17819,1.17329,1.17604,435810.4725
09.10.2020 05:00:00.000 GMT+0800,1.17597,1.18328,1.17578,1.18314,564486.0510000001
12.10.2020 05:00:00.000 GMT+0800,1.18180,1.18269,1.17870,1.18143,377729.64269999997
13.10.2020 05:00:00.000 GMT+0800,1.18131,1.18167,1.17307,1.17480,464254.63209999993
14.10.2020 05:00:00.000 GMT+0800,1.17466,1.17713,1.17201,1.17462,454152.1783
15.10.2020 05:00:00.000 GMT+0800,1.17463,1.17581,1.16887,1.17085,473851.9021
16.10.2020 05:00:00.000 GMT+0800,1.17084,1.17464,1.16942,1.17216,448694.86049999995
19.10.2020 05:00:00.000 GMT+0800,1.17238,1.17939,1.17033,1.17709,554464.3699
20.10.2020 05:00:00.000 GMT+0800,1.17710,1.18409,1.17601,1.18233,587925.2883999998
21.10.2020 05:00:00.000 GMT+0800,1.18233,1.18809,1.18226,1.18622,690867.8184000001
22.10.2020 05:00:00.000 GMT+0800,1.18622,1.18671,1.18116,1.18187,539516.5898999999
23.10.2020 05:00:00.000 GMT+0800,1.18184,1.18657,1.17870,1.18657,510232.1541000001
26.10.2020 05:00:00.000 GMT+0800,1.18595,1.18617,1.18034,1.18101,589596.8567000001
27.10.2020 05:00:00.000 GMT+0800,1.18094,1.18390,1.17929,1.17952,608120.9604999999
28.10.2020 05:00:00.000 GMT+0800,1.17952,1.17992,1.17180,1.17466,525125.5087
29.10.2020 05:00:00.000 GMT+0800,1.17462,1.17589,1.16504,1.16750,608229.3865
30.10.2020 05:00:00.000 GMT+0800,1.16750,1.17044,1.16402,1.16515,748056.9133
02.11.2020 06:00:00.000 GMT+0800,1.16518,1.16560,1.16223,1.16423,709665.2056
03.11.2020 06:00:00.000 GMT+0800,1.16435,1.17399,1.16355,1.17166,681640.9473000001
04.11.2020 06:00:00.000 GMT+0800,1.17174,1.17706,1.16030,1.17269,738690.5492
05.11.2020 06:00:00.000 GMT+0800,1.17280,1.18598,1.17109,1.18282,924915.9397000001
06.11.2020 06:00:00.000 GMT+0800,1.18304,1.18912,1.17956,1.18760,566998.5728999999
09.11.2020 06:00:00.000 GMT+0800,1.18906,1.19202,1.17956,1.18137,798273.4493000002
10.11.2020 06:00:00.000 GMT+0800,1.18137,1.18436,1.17801,1.18173,617403.0552
11.11.2020 06:00:00.000 GMT+0800,1.18176,1.18329,1.17457,1.17783,426476.1785
12.11.2020 06:00:00.000 GMT+0800,1.17787,1.18233,1.17588,1.18084,407866.84189999994
13.11.2020 06:00:00.000 GMT+0800,1.18082,1.18385,1.17992,1.18385,369838.16680000006
16.11.2020 06:00:00.000 GMT+0800,1.18432,1.18691,1.18144,1.18530,405772.279
17.11.2020 06:00:00.000 GMT+0800,1.18530,1.18939,1.18427,1.18620,422507.9344
18.11.2020 06:00:00.000 GMT+0800,1.18621,1.18911,1.18493,1.18545,439072.25460000004
